2017-10-30: ancient apparition, bane, huskar, legion commander, lich, magnataur, obsidian destroyer, riki, sand king, spirit breaker
2018-07-03: broodmother, centaur, juggernaut, legion commander, life stealer, lone druid, meepo, ogre magi, pudge, witch doctor
2018-07-04: antimage, crystal maiden, earth spirit, lycan, meepo, nyx assassin, storm spirit, troll warlord, undying, zuus
2018-07-05: antimage, enigma, furion, kunkka, lone druid, medusa, obsidian destroyer, omniknight, slardar, windrunner
2018-07-06: beastmaster, dragon knight, lina, magnataur, morphling, obsidian destroyer, oracle, phantom lancer, vengefulspirit, venomancer
2018-07-07: centaur, luna, lycan, omniknight, razor, sand king, silencer, spirit breaker, visage, winter wyvern
2018-07-08: batrider, dragon knight, drow ranger, earth spirit, enchantress, furion, jakiro, meepo, spectre, venomancer
2018-07-09: chaos knight, enchantress, keeper of the light, life stealer, lion, luna, obsidian destroyer, sven, tiny, winter wyvern
2018-07-10: dark willow, doom bringer, juggernaut, lone druid, morphling, oracle, phantom assassin, shadow shaman, skeleton king, troll warlord
2018-07-11: brewmaster, centaur, disruptor, gyrocopter, kunkka, mirana, riki, sniper, templar assassin, weaver
2018-07-12: alchemist, arc warden, drow ranger, elder titan, medusa, omniknight, oracle, slark, ursa, vengefulspirit
2018-07-13: abaddon, ancient apparition, beastmaster, brewmaster, centaur, dark willow, keeper of the light, ogre magi, razor, spectre
2018-07-14: abaddon, chen, crystal maiden, death prophet, huskar, juggernaut, keeper of the light, lycan, night stalker, winter wyvern
2018-07-15: ancient apparition, beastmaster, bloodseeker, death prophet, rattletrap, sand king, tiny, visage, windrunner, wisp
2018-07-16: antimage, bristleback, clinkz, life stealer, lion, meepo, monkey king, nevermore, pudge, silencer
2018-07-17: bounty hunter, furion, jakiro, luna, lycan, meepo, nyx assassin, tiny, troll warlord, wisp
2018-07-18: alchemist, beastmaster, crystal maiden, drow ranger, faceless void, kunkka, life stealer, phantom lancer, sniper, templar assassin
2018-07-19: dragon knight, earth spirit, faceless void, gyrocopter, invoker, morphling, shadow demon, techies, tusk, viper
2018-07-20: ancient apparition, crystal maiden, doom bringer, enchantress, lich, lion, lone druid, pangolier, queenofpain, silencer
2018-07-21: broodmother, crystal maiden, kunkka, nevermore, pangolier, skeleton king, slardar, spirit breaker, terrorblade, tusk
2018-07-22: bounty hunter, dazzle, keeper of the light, lich, night stalker, nyx assassin, omniknight, shadow demon, sven, techies
2018-07-23: arc warden, bounty hunter, earthshaker, life stealer, lina, monkey king, phoenix, puck, queenofpain, viper
2018-07-24: ancient apparition, bane, crystal maiden, dark willow, disruptor, gyrocopter, naga siren, nyx assassin, tiny, viper
2018-07-25: abaddon, drow ranger, luna, phantom lancer, sand king, shredder, skeleton king, templar assassin, terrorblade, tinker
2018-07-26: abaddon, alchemist, batrider, centaur, death prophet, necrolyte, night stalker, silencer, slardar, sniper
2018-07-27: broodmother, drow ranger, morphling, pudge, pugna, silencer, sven, ursa, vengefulspirit, witch doctor
2018-07-28: beastmaster, clinkz, crystal maiden, earthshaker, medusa, oracle, phoenix, troll warlord, visage, witch doctor
2018-07-29: dark seer, dazzle, dragon knight, elder titan, legion commander, medusa, slark, troll warlord, ursa, zuus
2018-07-30: drow ranger, leshrac, life stealer, lone druid, morphling, nevermore, pugna, sand king, terrorblade, warlock
2018-07-31: batrider, bounty hunter, crystal maiden, drow ranger, lion, magnataur, ogre magi, oracle, riki, spectre
2018-08-01: abyssal underlord, batrider, dark seer, naga siren, oracle, queenofpain, sand king, shredder, storm spirit, vengefulspirit
2018-08-02: antimage, batrider, chaos knight, dazzle, earthshaker, ember spirit, mirana, nevermore, razor, silencer
2018-08-03: arc warden, bristleback, disruptor, furion, medusa, mirana, monkey king, rattletrap, skeleton king, winter wyvern
2018-08-04: ancient apparition, bounty hunter, drow ranger, mirana, monkey king, morphling, storm spirit, techies, tusk, wisp
2018-08-05: centaur, dark willow, disruptor, elder titan, legion commander, life stealer, lone druid, razor, sand king, skeleton king
2018-08-06: bane, bristleback, magnataur, meepo, monkey king, night stalker, obsidian destroyer, oracle, templar assassin, terrorblade
2018-08-07: brewmaster, broodmother, elder titan, keeper of the light, leshrac, lina, ogre magi, shadow shaman, skeleton king, weaver
2018-08-08: arc warden, earth spirit, enchantress, faceless void, furion, gyrocopter, ogre magi, phoenix, razor, venomancer
2018-08-09: earth spirit, earthshaker, ember spirit, lion, lone druid, luna, mirana, pangolier, slark, sniper
2018-08-10: chen, life stealer, nevermore, silencer, skeleton king, tidehunter, tiny, treant, ursa, weaver
2018-08-11: abaddon, bloodseeker, chen, clinkz, dragon knight, earth spirit, furion, monkey king, pugna, zuus
2018-08-12: abyssal underlord, bane, centaur, enchantress, furion, life stealer, morphling, pudge, storm spirit, troll warlord
2018-08-13: alchemist, clinkz, doom bringer, dragon knight, drow ranger, naga siren, obsidian destroyer, razor, skeleton king, tidehunter
2018-08-14: bristleback, luna, oracle, phantom assassin, pugna, rubick, silencer, skywrath mage, spirit breaker, venomancer
2018-08-15: dark willow, leshrac, lich, magnataur, oracle, shadow shaman, spectre, spirit breaker, troll warlord, tusk
2018-08-16: batrider, earthshaker, ember spirit, keeper of the light, lycan, morphling, naga siren, oracle, rubick, venomancer
2018-08-17: alchemist, clinkz, ember spirit, life stealer, lina, luna, lycan, meepo, phantom lancer, templar assassin
2018-08-18: antimage, axe, keeper of the light, legion commander, lich, naga siren, ogre magi, razor, templar assassin, tiny
2018-08-19: alchemist, batrider, beastmaster, disruptor, earth spirit, earthshaker, enchantress, lina, storm spirit, tiny
2018-08-20: bristleback, enigma, luna, magnataur, monkey king, necrolyte, phantom lancer, slardar, troll warlord, wisp
2018-08-21: axe, earth spirit, legion commander, night stalker, phantom assassin, slark, sniper, terrorblade, weaver, windrunner
2018-08-22: arc warden, beastmaster, earthshaker, enchantress, leshrac, pugna, skywrath mage, slardar, templar assassin, warlock
2018-08-23: bristleback, broodmother, monkey king, necrolyte, phantom lancer, shadow demon, techies, tiny, tusk, venomancer
2018-08-24: alchemist, bane, broodmother, centaur, skywrath mage, slardar, treant, tusk, undying, winter wyvern
2018-08-25: abaddon, chaos knight, crystal maiden, enigma, huskar, jakiro, keeper of the light, life stealer, lina, winter wyvern
2018-08-26: bounty hunter, bristleback, crystal maiden, dragon knight, leshrac, lina, oracle, rattletrap, slark, undying
2018-08-27: huskar, lone druid, morphling, naga siren, night stalker, pangolier, razor, storm spirit, venomancer, winter wyvern
2018-08-28: disruptor, magnataur, monkey king, phantom assassin, queenofpain, riki, shadow demon, slark, ursa, viper
2018-08-29: chaos knight, chen, dark willow, keeper of the light, mirana, monkey king, obsidian destroyer, shadow demon, venomancer, wisp
2018-08-30: axe, beastmaster, bloodseeker, dark seer, dark willow, kunkka, phantom lancer, viper, visage, weaver
2018-08-31: enchantress, gyrocopter, legion commander, obsidian destroyer, puck, pudge, silencer, skywrath mage, vengefulspirit, winter wyvern
2018-09-01: axe, earth spirit, faceless void, juggernaut, meepo, monkey king, obsidian destroyer, slark, tinker, windrunner
2018-09-02: enigma, furion, life stealer, necrolyte, phoenix, puck, razor, slark, spectre, terrorblade
2018-09-03: broodmother, centaur, crystal maiden, dragon knight, juggernaut, leshrac, lich, sniper, spectre, techies
2018-09-04: bane, bounty hunter, jakiro, legion commander, meepo, mirana, nevermore, queenofpain, silencer, skywrath mage
2018-09-05: bounty hunter, centaur, lion, medusa, obsidian destroyer, slardar, sven, tidehunter, tiny, tusk
2018-09-06: axe, death prophet, faceless void, magnataur, shadow shaman, skeleton king, techies, tinker, wisp, zuus
2018-09-07: alchemist, ancient apparition, bane, clinkz, dragon knight, huskar, luna, nevermore, tinker, undying
2018-09-08: batrider, dark willow, enigma, lone druid, ogre magi, queenofpain, silencer, tidehunter, weaver, zuus
2018-09-09: abyssal underlord, dark willow, huskar, nevermore, pudge, skeleton king, sven, terrorblade, tusk, zuus
2018-09-10: beastmaster, bloodseeker, drow ranger, ember spirit, invoker, juggernaut, pangolier, riki, shadow demon, templar assassin
2018-09-11: death prophet, enchantress, leshrac, lone druid, monkey king, oracle, pangolier, queenofpain, shadow demon, winter wyvern
2018-09-12: abaddon, drow ranger, earthshaker, enigma, invoker, pangolier, pudge, razor, spirit breaker, weaver
2018-09-13: abaddon, abyssal underlord, axe, enigma, necrolyte, puck, razor, skeleton king, tiny, troll warlord
2018-09-14: alchemist, bristleback, furion, legion commander, ogre magi, rattletrap, slark, troll warlord, viper, visage
2018-09-15: axe, dark willow, doom bringer, naga siren, pangolier, puck, rattletrap, skeleton king, spirit breaker, templar assassin
2018-09-16: clinkz, gyrocopter, kunkka, luna, medusa, monkey king, omniknight, sand king, tinker, undying
2018-09-17: ancient apparition, bane, doom bringer, enchantress, luna, necrolyte, shadow demon, treant, viper, wisp
2018-09-18: dazzle, death prophet, legion commander, magnataur, obsidian destroyer, pugna, razor, shadow shaman, spectre, visage
2018-09-19: beastmaster, brewmaster, enigma, invoker, lone druid, phantom assassin, rattletrap, slardar, treant, winter wyvern
2018-09-20: elder titan, ember spirit, enchantress, lina, mirana, night stalker, templar assassin, tidehunter, tinker, treant
2018-09-21: ancient apparition, bloodseeker, broodmother, jakiro, leshrac, queenofpain, slark, spirit breaker, venomancer, witch doctor
2018-09-22: arc warden, beastmaster, bounty hunter, dark willow, dragon knight, jakiro, lich, lone druid, rubick, shadow demon
2018-09-23: bane, centaur, legion commander, lich, medusa, meepo, phantom assassin, puck, riki, spirit breaker
2018-09-24: death prophet, gyrocopter, jakiro, meepo, morphling, shadow demon, techies, terrorblade, vengefulspirit, zuus
2018-09-25: bounty hunter, puck, sand king, shadow shaman, spirit breaker, templar assassin, treant, venomancer, viper, winter wyvern
2018-09-26: beastmaster, chen, crystal maiden, life stealer, lone druid, nyx assassin, puck, rattletrap, tidehunter, troll warlord
2018-09-27: beastmaster, dark seer, dazzle, drow ranger, lich, night stalker, sand king, sniper, weaver, zuus
2018-09-28: bristleback, clinkz, keeper of the light, life stealer, queenofpain, shadow demon, spectre, templar assassin, venomancer, witch doctor
2018-09-29: centaur, enchantress, faceless void, juggernaut, life stealer, omniknight, riki, shadow demon, ursa, wisp
2018-09-30: arc warden, bane, centaur, invoker, keeper of the light, lion, luna, monkey king, phoenix, shadow shaman
2018-10-01: beastmaster, bounty hunter, kunkka, life stealer, meepo, puck, rattletrap, shadow shaman, storm spirit, tinker
2018-10-02: ancient apparition, batrider, brewmaster, enigma, jakiro, lich, shredder, storm spirit, tiny, warlock
2018-10-03: clinkz, dark seer, juggernaut, lina, luna, shredder, silencer, spectre, undying, visage
2018-10-04: abaddon, earthshaker, huskar, kunkka, life stealer, lone druid, phantom assassin, pugna, shadow demon, viper
2018-10-05: earth spirit, gyrocopter, invoker, life stealer, morphling, oracle, pugna, queenofpain, shredder, tinker
2018-10-06: abaddon, doom bringer, drow ranger, lycan, omniknight, riki, rubick, slark, sven, zuus
2018-10-07: abyssal underlord, dazzle, legion commander, nevermore, ogre magi, riki, skeleton king, spectre, terrorblade, tinker
2018-10-08: chaos knight, dark seer, drow ranger, jakiro, medusa, naga siren, night stalker, phantom assassin, phantom lancer, terrorblade
2018-10-09: axe, clinkz, disruptor, ember spirit, kunkka, lich, lycan, phoenix, slardar, viper
2018-10-10: bristleback, invoker, keeper of the light, lycan, meepo, pudge, pugna, tusk, weaver, witch doctor
2018-10-11: alchemist, bristleback, disruptor, drow ranger, elder titan, omniknight, phantom assassin, pugna, techies, warlock
2018-10-12: arc warden, chaos knight, morphling, nevermore, silencer, skywrath mage, slardar, storm spirit, tidehunter, undying
2018-10-13: arc warden, axe, chaos knight, dragon knight, legion commander, lina, monkey king, sand king, spirit breaker, sven
2018-10-14: alchemist, broodmother, gyrocopter, mirana, nevermore, phantom lancer, rubick, shadow demon, sniper, undying
2018-10-15: alchemist, brewmaster, crystal maiden, dark willow, furion, lone druid, phantom lancer, troll warlord, venomancer, weaver
2018-10-16: abaddon, antimage, beastmaster, bloodseeker, mirana, phantom assassin, puck, skeleton king, ursa, viper
2018-10-17: arc warden, dragon knight, earth spirit, enchantress, gyrocopter, life stealer, naga siren, sven, tusk, visage
2018-10-18: abaddon, huskar, kunkka, lone druid, naga siren, night stalker, riki, spirit breaker, viper, visage
2018-10-19: ancient apparition, bristleback, earth spirit, jakiro, luna, magnataur, oracle, phantom lancer, sand king, vengefulspirit
2018-10-20: centaur, chaos knight, earth spirit, monkey king, nyx assassin, storm spirit, sven, viper, wisp, witch doctor
2018-10-21: axe, dazzle, lone druid, lycan, meepo, morphling, phoenix, shadow demon, spectre, vengefulspirit
2018-10-22: dark seer, disruptor, ember spirit, enigma, lich, medusa, naga siren, nevermore, riki, shredder
2018-10-23: bristleback, disruptor, lich, luna, meepo, sand king, shadow demon, skywrath mage, terrorblade, witch doctor
2018-10-24: dragon knight, elder titan, meepo, mirana, necrolyte, phantom lancer, phoenix, riki, terrorblade, wisp
2018-10-25: brewmaster, dark seer, dark willow, dragon knight, gyrocopter, lone druid, phantom lancer, sven, undying, ursa
2018-10-26: abaddon, disruptor, invoker, phantom assassin, phoenix, shadow demon, slardar, sniper, undying, windrunner
2018-10-27: bane, dark willow, disruptor, legion commander, lycan, rattletrap, sand king, tinker, treant, wisp
2018-10-28: chaos knight, enigma, meepo, mirana, pangolier, puck, skeleton king, skywrath mage, storm spirit, weaver
2018-10-29: broodmother, invoker, keeper of the light, lone druid, lycan, obsidian destroyer, oracle, puck, slark, wisp
2018-10-30: ancient apparition, bloodseeker, furion, kunkka, lone druid, mirana, pugna, shadow shaman, spirit breaker, storm spirit
2018-10-31: abaddon, abyssal underlord, elder titan, huskar, pudge, rattletrap, shredder, spirit breaker, templar assassin, tiny
2018-11-01: abyssal underlord, antimage, axe, earthshaker, oracle, phantom assassin, pudge, skeleton king, spirit breaker, ursa
2018-11-02: chaos knight, clinkz, earth spirit, ember spirit, kunkka, queenofpain, riki, rubick, techies, ursa
2018-11-03: abyssal underlord, axe, dark willow, drow ranger, life stealer, obsidian destroyer, ogre magi, omniknight, razor, rubick
2018-11-04: batrider, brewmaster, clinkz, death prophet, faceless void, huskar, life stealer, morphling, naga siren, zuus
2018-11-05: abyssal underlord, arc warden, elder titan, nyx assassin, puck, rubick, sand king, tinker, troll warlord, winter wyvern
2018-11-06: abaddon, alchemist, dazzle, doom bringer, nevermore, rattletrap, shadow demon, shredder, spectre, vengefulspirit
2018-11-07: brewmaster, chen, enigma, gyrocopter, medusa, obsidian destroyer, phoenix, skywrath mage, undying, winter wyvern
2018-11-08: chaos knight, clinkz, death prophet, keeper of the light, nyx assassin, ogre magi, rubick, spirit breaker, tusk, witch doctor
2018-11-09: dazzle, doom bringer, drow ranger, enchantress, juggernaut, rattletrap, riki, sand king, tinker, witch doctor
2018-11-10: bristleback, crystal maiden, keeper of the light, leshrac, obsidian destroyer, oracle, rubick, shadow shaman, tiny, visage
2018-11-11: abyssal underlord, dark seer, ember spirit, invoker, juggernaut, legion commander, mirana, omniknight, razor, spirit breaker
2018-11-12: bloodseeker, bounty hunter, death prophet, elder titan, morphling, puck, razor, sniper, storm spirit, warlock
2018-11-13: bristleback, dazzle, death prophet, lycan, night stalker, ogre magi, phantom assassin, sniper, spirit breaker, wisp
2018-11-14: bane, centaur, morphling, naga siren, riki, skeleton king, slardar, storm spirit, templar assassin, warlock
2018-11-15: doom bringer, kunkka, legion commander, morphling, oracle, phantom assassin, riki, shadow demon, templar assassin, windrunner
2018-11-16: broodmother, invoker, legion commander, razor, rubick, techies, terrorblade, tidehunter, venomancer, zuus
2018-11-17: axe, batrider, centaur, lina, night stalker, phantom lancer, silencer, visage, winter wyvern, wisp
2018-11-18: axe, bane, brewmaster, dazzle, death prophet, elder titan, phantom lancer, sand king, skywrath mage, tidehunter
2018-11-19: alchemist, chaos knight, dark willow, disruptor, enigma, legion commander, luna, skeleton king, techies, venomancer
2018-11-20: alchemist, axe, beastmaster, earthshaker, monkey king, ogre magi, shadow shaman, spirit breaker, troll warlord, viper
2018-11-21: ancient apparition, bane, naga siren, omniknight, puck, spectre, templar assassin, ursa, venomancer, zuus
2018-11-22: abyssal underlord, alchemist, batrider, chaos knight, keeper of the light, lone druid, phoenix, shredder, slardar, slark
2018-11-23: beastmaster, huskar, invoker, magnataur, nyx assassin, obsidian destroyer, pudge, shadow demon, treant, visage
2018-11-24: beastmaster, ember spirit, enigma, juggernaut, legion commander, shredder, slardar, treant, warlock, winter wyvern
2018-11-25: huskar, keeper of the light, mirana, monkey king, pangolier, razor, silencer, skywrath mage, storm spirit, terrorblade
2018-11-26: enigma, faceless void, furion, meepo, phantom lancer, rattletrap, shadow shaman, silencer, viper, wisp
2018-11-27: bounty hunter, kunkka, night stalker, skywrath mage, slardar, sven, templar assassin, tidehunter, warlock, winter wyvern
2018-11-28: gyrocopter, leshrac, lina, mirana, naga siren, nevermore, phantom lancer, pudge, queenofpain, wisp
2018-11-29: drow ranger, jakiro, legion commander, morphling, naga siren, oracle, riki, rubick, shredder, skywrath mage
2018-11-30: bane, batrider, dazzle, death prophet, lion, meepo, necrolyte, nyx assassin, spectre, undying
2018-12-01: brewmaster, chen, enigma, leshrac, life stealer, luna, nevermore, shadow demon, shredder, terrorblade
2018-12-02: bloodseeker, enigma, kunkka, ogre magi, shredder, skywrath mage, slark, undying, windrunner, zuus
2018-12-03: batrider, dragon knight, lycan, mirana, naga siren, phantom assassin, phantom lancer, queenofpain, shredder, windrunner
2018-12-04: abyssal underlord, gyrocopter, invoker, legion commander, naga siren, night stalker, ogre magi, phoenix, slardar, viper
2018-12-05: chen, juggernaut, leshrac, necrolyte, razor, sven, tiny, vengefulspirit, winter wyvern, zuus
2018-12-06: axe, chaos knight, dark willow, keeper of the light, legion commander, pugna, shredder, skywrath mage, sniper, sven
2018-12-07: antimage, bristleback, drow ranger, enchantress, jakiro, naga siren, oracle, templar assassin, tusk, vengefulspirit
2018-12-08: abaddon, abyssal underlord, drow ranger, elder titan, enchantress, lich, necrolyte, pugna, riki, windrunner
2018-12-09: axe, bounty hunter, brewmaster, centaur, dark seer, night stalker, obsidian destroyer, queenofpain, shredder, zuus
2018-12-10: dark seer, dragon knight, kunkka, luna, monkey king, nyx assassin, oracle, rattletrap, spectre, techies
2018-12-11: drow ranger, legion commander, lich, meepo, night stalker, obsidian destroyer, queenofpain, terrorblade, tidehunter, ursa
2018-12-12: abaddon, batrider, bristleback, dark seer, leshrac, nyx assassin, obsidian destroyer, razor, silencer, tidehunter
2018-12-13: arc warden, lina, medusa, obsidian destroyer, ogre magi, skeleton king, slardar, undying, ursa, wisp
2018-12-14: abaddon, axe, broodmother, centaur, disruptor, doom bringer, legion commander, techies, treant, tusk
2018-12-15: axe, dark willow, death prophet, huskar, lich, medusa, queenofpain, riki, troll warlord, visage
2018-12-16: abyssal underlord, brewmaster, faceless void, juggernaut, riki, slardar, troll warlord, venomancer, winter wyvern, wisp
2018-12-17: abyssal underlord, ancient apparition, bloodseeker, chen, enchantress, invoker, juggernaut, meepo, sand king, slardar
2018-12-18: broodmother, invoker, meepo, monkey king, necrolyte, phantom assassin, slark, techies, tiny, wisp
2018-12-19: clinkz, dark willow, enigma, keeper of the light, kunkka, legion commander, nevermore, puck, queenofpain, tiny
2018-12-20: death prophet, ember spirit, jakiro, kunkka, lycan, necrolyte, omniknight, phoenix, razor, templar assassin
2018-12-21: beastmaster, death prophet, earth spirit, enigma, juggernaut, lycan, omniknight, tidehunter, tinker, viper
2018-12-22: broodmother, chaos knight, gyrocopter, invoker, kunkka, night stalker, razor, skeleton king, skywrath mage, witch doctor
2018-12-23: beastmaster, bloodseeker, drow ranger, kunkka, leshrac, nyx assassin, pugna, rattletrap, skeleton king, tusk
2018-12-24: ember spirit, lion, luna, magnataur, nyx assassin, ogre magi, pugna, slardar, slark, treant
2018-12-25: crystal maiden, lich, lycan, meepo, nevermore, ogre magi, shredder, storm spirit, winter wyvern, zuus
2018-12-26: abaddon, abyssal underlord, elder titan, faceless void, lich, meepo, sand king, spirit breaker, undying, wisp
2018-12-27: alchemist, bane, bloodseeker, drow ranger, enigma, leshrac, oracle, pangolier, phantom assassin, viper
2018-12-28: arc warden, broodmother, doom bringer, drow ranger, enchantress, nevermore, ogre magi, sand king, storm spirit, vengefulspirit
2018-12-29: bane, beastmaster, bounty hunter, elder titan, enchantress, ogre magi, techies, ursa, visage, witch doctor
2018-12-30: axe, bane, death prophet, faceless void, jakiro, magnataur, pudge, techies, tiny, venomancer
2018-12-31: bounty hunter, invoker, morphling, omniknight, rattletrap, riki, shadow demon, shadow shaman, tidehunter, windrunner
2019-01-01: ancient apparition, doom bringer, legion commander, medusa, mirana, oracle, rattletrap, undying, warlock, weaver
2019-01-02: antimage, dark willow, faceless void, gyrocopter, medusa, naga siren, obsidian destroyer, rubick, shadow shaman, sven
2019-01-03: earthshaker, elder titan, faceless void, invoker, naga siren, skeleton king, slardar, treant, visage, winter wyvern
2019-01-04: alchemist, antimage, bane, disruptor, life stealer, lion, lycan, meepo, necrolyte, shredder
2019-01-05: arc warden, death prophet, dragon knight, earth spirit, invoker, lich, puck, pugna, techies, tinker
2019-01-06: ember spirit, enchantress, jakiro, magnataur, meepo, morphling, oracle, rattletrap, shadow shaman, sniper
2019-01-07: abaddon, axe, bane, clinkz, disruptor, legion commander, phantom assassin, tidehunter, tinker, winter wyvern
2019-01-08: ancient apparition, death prophet, doom bringer, lion, medusa, pangolier, queenofpain, rubick, spirit breaker, ursa
2019-01-09: bounty hunter, drow ranger, enchantress, life stealer, ogre magi, phantom assassin, puck, rubick, sniper, weaver
2019-01-10: bounty hunter, broodmother, huskar, meepo, night stalker, queenofpain, spectre, tusk, warlock, windrunner
2019-01-11: ancient apparition, bounty hunter, bristleback, dazzle, enchantress, jakiro, lone druid, night stalker, slark, treant
2019-01-12: alchemist, ancient apparition, dark willow, earthshaker, life stealer, lina, monkey king, necrolyte, spirit breaker, wisp
2019-01-13: abaddon, bloodseeker, disruptor, gyrocopter, juggernaut, keeper of the light, magnataur, morphling, winter wyvern, zuus
2019-01-14: axe, earthshaker, enchantress, faceless void, lycan, necrolyte, nevermore, omniknight, slark, vengefulspirit
2019-01-15: bristleback, centaur, clinkz, crystal maiden, dark seer, ember spirit, legion commander, nyx assassin, vengefulspirit, zuus
2019-01-16: disruptor, drow ranger, furion, leshrac, magnataur, ogre magi, oracle, puck, queenofpain, sven
2019-01-17: antimage, broodmother, juggernaut, lone druid, luna, pangolier, puck, troll warlord, undying, venomancer
2019-01-18: chaos knight, faceless void, magnataur, morphling, omniknight, pangolier, rattletrap, silencer, spectre, treant
2019-01-19: bane, doom bringer, luna, omniknight, phoenix, queenofpain, rubick, sniper, sven, templar assassin
2019-01-20: alchemist, ancient apparition, death prophet, enchantress, gyrocopter, lion, meepo, shadow demon, venomancer, winter wyvern
2019-01-21: beastmaster, clinkz, enigma, lion, riki, shadow shaman, slark, ursa, winter wyvern, zuus
2019-01-22: bloodseeker, earthshaker, ember spirit, invoker, life stealer, lion, phantom assassin, pugna, shredder, skywrath mage
2019-01-23: ember spirit, huskar, keeper of the light, luna, magnataur, mirana, omniknight, phantom lancer, skywrath mage, visage
2019-01-24: antimage, bounty hunter, brewmaster, invoker, nevermore, pudge, spectre, storm spirit, terrorblade, weaver
2019-01-25: arc warden, beastmaster, dark seer, pangolier, razor, riki, shredder, vengefulspirit, venomancer, witch doctor
2019-01-26: axe, death prophet, doom bringer, lich, monkey king, nevermore, shredder, terrorblade, ursa, witch doctor
2019-01-27: chen, dark seer, death prophet, lich, morphling, naga siren, omniknight, phoenix, razor, silencer
2019-01-28: bloodseeker, broodmother, enigma, furion, huskar, naga siren, necrolyte, ogre magi, skeleton king, vengefulspirit
2019-01-29: arc warden, batrider, broodmother, enchantress, luna, lycan, razor, shredder, templar assassin, troll warlord
2019-01-30: dragon knight, invoker, oracle, puck, pudge, razor, skeleton king, troll warlord, wisp, zuus
2019-01-31: beastmaster, brewmaster, enchantress, jakiro, life stealer, ogre magi, puck, pugna, riki, shadow shaman
2019-02-01: bane, doom bringer, dragon knight, enchantress, huskar, luna, nevermore, sand king, shadow demon, witch doctor
2019-02-02: chaos knight, crystal maiden, doom bringer, dragon knight, drow ranger, kunkka, mirana, omniknight, shredder, zuus
2019-02-03: abyssal underlord, bristleback, drow ranger, legion commander, lone druid, oracle, pangolier, pudge, rattletrap, slardar
2019-02-04: alchemist, batrider, elder titan, furion, invoker, lone druid, night stalker, oracle, razor, riki
2019-02-05: abyssal underlord, chen, dragon knight, enigma, faceless void, leshrac, life stealer, phoenix, razor, witch doctor
2019-02-06: alchemist, beastmaster, crystal maiden, dark willow, enigma, medusa, meepo, phoenix, storm spirit, tidehunter
2019-02-07: bane, broodmother, dazzle, luna, naga siren, obsidian destroyer, phantom lancer, shredder, terrorblade, witch doctor
2019-02-08: antimage, bristleback, crystal maiden, dark willow, furion, lone druid, meepo, skeleton king, templar assassin, wisp
2019-02-09: brewmaster, juggernaut, night stalker, pangolier, phoenix, techies, tidehunter, viper, weaver, winter wyvern
2019-02-10: crystal maiden, necrolyte, shadow shaman, silencer, spectre, templar assassin, tinker, troll warlord, visage, witch doctor
2019-02-11: alchemist, ancient apparition, antimage, chaos knight, dazzle, invoker, lone druid, skeleton king, treant, winter wyvern
2019-02-12: axe, bristleback, drow ranger, elder titan, gyrocopter, lina, mirana, nyx assassin, phantom lancer, visage
2019-02-13: abaddon, batrider, brewmaster, bristleback, clinkz, legion commander, rattletrap, razor, spirit breaker, tiny
2019-02-14: dark seer, keeper of the light, lycan, ogre magi, pangolier, shadow demon, troll warlord, vengefulspirit, wisp, witch doctor
2019-02-15: chaos knight, enchantress, furion, meepo, nyx assassin, phantom assassin, puck, tusk, visage, zuus
2019-02-16: abyssal underlord, batrider, earthshaker, enchantress, gyrocopter, ogre magi, riki, silencer, sven, zuus
2019-02-17: abyssal underlord, axe, bloodseeker, furion, keeper of the light, night stalker, obsidian destroyer, riki, undying, windrunner
2019-02-18: abaddon, bounty hunter, broodmother, chen, earthshaker, legion commander, rattletrap, terrorblade, tidehunter, witch doctor
2019-02-19: ancient apparition, crystal maiden, earth spirit, furion, keeper of the light, luna, night stalker, rattletrap, techies, vengefulspirit
2019-02-20: ancient apparition, antimage, death prophet, ember spirit, huskar, lina, meepo, naga siren, sand king, wisp
2019-02-21: arc warden, bristleback, lich, necrolyte, storm spirit, tiny, treant, tusk, venomancer, windrunner
2019-02-22: ancient apparition, antimage, chen, dazzle, leshrac, mirana, nevermore, pangolier, undying, witch doctor
2019-02-23: arc warden, clinkz, death prophet, disruptor, dragon knight, drow ranger, obsidian destroyer, sniper, undying, viper
2019-02-24: dazzle, ember spirit, jakiro, obsidian destroyer, oracle, puck, sand king, shadow shaman, spectre, venomancer
2019-02-25: abaddon, broodmother, enchantress, morphling, puck, shadow shaman, skeleton king, tidehunter, visage, zuus
2019-02-26: bounty hunter, disruptor, faceless void, huskar, naga siren, nyx assassin, phantom lancer, rattletrap, treant, zuus
2019-02-27: brewmaster, centaur, enigma, kunkka, luna, magnataur, monkey king, pudge, spectre, ursa
2019-02-28: antimage, earth spirit, legion commander, lina, lion, nevermore, night stalker, riki, shadow shaman, tusk
2019-03-01: brewmaster, drow ranger, huskar, medusa, naga siren, phantom lancer, sand king, shadow demon, slardar, treant
2019-03-02: clinkz, dragon knight, enigma, furion, huskar, lion, phantom assassin, sven, tinker, ursa
2019-03-03: crystal maiden, earthshaker, furion, huskar, keeper of the light, pudge, pugna, sand king, warlock, winter wyvern
2019-03-04: axe, batrider, clinkz, crystal maiden, earthshaker, legion commander, lycan, pugna, undying, venomancer
2019-03-05: axe, earth spirit, ember spirit, leshrac, pudge, sand king, shredder, slardar, sniper, tidehunter
